page_type,route,brand_slug,model_slug,variant_slug,display_name,main_image,small_image
model,/mercedes-benz/clc-class,mercedes-benz,clc-class,,Mercedes Benz CLC Class,/images/brands/mercedes-benz/models/mercedes-benz-clc-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-clc-class-small.webp
model,/mercedes-benz/clk,mercedes-benz,clk,,Mercedes Benz CLK,/images/brands/mercedes-benz/models/mercedes-benz-clk-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-clk-small.webp
model,/mercedes-benz/cls,mercedes-benz,cls,,Mercedes Benz CLS,/images/brands/mercedes-benz/models/mercedes-benz-cls-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-cls-small.webp
model,/mercedes-benz/e-class,mercedes-benz,e-class,,Mercedes Benz E Class,/images/brands/mercedes-benz/models/mercedes-benz-e-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-e-class-small.webp
model,/mercedes-benz/g-class,mercedes-benz,g-class,,Mercedes Benz G Class,/images/brands/mercedes-benz/models/mercedes-benz-g-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-g-class-small.webp
model,/mercedes-benz/gla-class,mercedes-benz,gla-class,,Mercedes Benz GLA Class,/images/brands/mercedes-benz/models/mercedes-benz-gla-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-gla-class-small.webp
model,/mercedes-benz/glc-class,mercedes-benz,glc-class,,Mercedes Benz GLC Class,/images/brands/mercedes-benz/models/mercedes-benz-glc-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-glc-class-small.webp
model,/mercedes-benz/gle-class,mercedes-benz,gle-class,,Mercedes Benz GLE Class,/images/brands/mercedes-benz/models/mercedes-benz-gle-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-gle-class-small.webp
model,/mercedes-benz/glk-class,mercedes-benz,glk-class,,Mercedes Benz GLK Class,/images/brands/mercedes-benz/models/mercedes-benz-glk-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-glk-class-small.webp
model,/mercedes-benz/gls,mercedes-benz,gls,,Mercedes Benz GLS,/images/brands/mercedes-benz/models/mercedes-benz-gls-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-gls-small.webp
model,/mercedes-benz/m-class,mercedes-benz,m-class,,Mercedes Benz M Class,/images/brands/mercedes-benz/models/mercedes-benz-m-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-m-class-small.webp
model,/mercedes-benz/r-class,mercedes-benz,r-class,,Mercedes Benz R Class,/images/brands/mercedes-benz/models/mercedes-benz-r-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-r-class-small.webp
model,/mercedes-benz/s-class,mercedes-benz,s-class,,Mercedes Benz S Class,/images/brands/mercedes-benz/models/mercedes-benz-s-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-s-class-small.webp
model,/mercedes-benz/sl,mercedes-benz,sl,,Mercedes Benz SL,/images/brands/mercedes-benz/models/mercedes-benz-sl-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-sl-small.webp
model,/mercedes-benz/slc,mercedes-benz,slc,,Mercedes Benz SLC,/images/brands/mercedes-benz/models/mercedes-benz-slc-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-slc-small.webp
model,/mercedes-benz/slk,mercedes-benz,slk,,Mercedes Benz SLK,/images/brands/mercedes-benz/models/mercedes-benz-slk-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-slk-small.webp
model,/mercedes-benz/sls-amg,mercedes-benz,sls-amg,,Mercedes Benz SLS AMG,/images/brands/mercedes-benz/models/mercedes-benz-sls-amg-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-sls-amg-small.webp
model,/mercedes-benz/sprinter,mercedes-benz,sprinter,,Mercedes Benz Sprinter,/images/brands/mercedes-benz/models/mercedes-benz-sprinter-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-sprinter-small.webp
model,/mercedes-benz/v-class,mercedes-benz,v-class,,Mercedes Benz V Class,/images/brands/mercedes-benz/models/mercedes-benz-v-class-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-v-class-small.webp
model,/mercedes-benz/vaneo,mercedes-benz,vaneo,,Mercedes Benz Vaneo,/images/brands/mercedes-benz/models/mercedes-benz-vaneo-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-vaneo-small.webp
model,/mercedes-benz/vario,mercedes-benz,vario,,Mercedes Benz Vario,/images/brands/mercedes-benz/models/mercedes-benz-vario-main.webp,/images/brands/mercedes-benz/models/mercedes-benz-vario-small.webp
